Site Id,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
2029,10/1/2009,0,0,0,5.1,-1.9,1.5,0
2029,10/2/2009,0,0,-0.3,10.1,-4.2,2.7,0
2029,10/3/2009,0,0,4.3,10.6,-0.6,5,0
2029,10/4/2009,0.1,0.1,-1.5,6.7,-1.7,1.4,1
2029,10/5/2009,0.7,0.7,-0.1,0,-2.2,-0.9,2
2029,10/6/2009,0.7,1,0.1,3.8,-1,0.4,2
2029,10/7/2009,0.3,1,2.9,7.6,-2.1,3,1
2029,10/8/2009,0,1,2.4,10.4,1.1,5.4,0
2029,10/9/2009,0,1,3.6,10.3,1,5.8,0
2029,10/10/2009,0,1,-2.1,8.3,-2.4,3.7,0
2029,10/11/2009,0,1,-1.1,3.2,-2.3,0,0
2029,10/12/2009,0,1,-0.6,5.8,-4.1,-0.2,0
2029,10/13/2009,0,1,5,8.8,-3.2,4.3,0
2029,10/14/2009,0,1,7.5,11.5,4.2,6.9,0
2029,10/15/2009,0,1.2,7.1,13.7,6.6,9,0
2029,10/16/2009,0,1.2,6.3,13.2,5.5,8.2,0
2029,10/17/2009,0,1.2,8.7,15.7,5.8,10.7,0
2029,10/18/2009,0,1.2,14.3,20.9,7.4,14,0
2029,10/19/2009,0,1.2,8.9,15.9,7.4,11.4,0
2029,10/20/2009,0,1.3,3.5,9.4,3.5,6.4,0
2029,10/21/2009,0,1.3,5.6,9.7,2.2,5.4,0
2029,10/22/2009,0,1.3,6.9,10.6,2.1,6.3,0
2029,10/23/2009,0,1.3,6.8,11,2.7,6.8,0
2029,10/24/2009,0,1.5,7.7,13.5,6.2,8.5,0
2029,10/25/2009,0,1.5,-0.4,7.8,-0.4,4.3,0
2029,10/26/2009,0,1.5,7.9,7.9,-3,3.7,0
2029,10/27/2009,0,1.8,-0.8,13.2,-0.8,7.2,0
2029,10/28/2009,0,1.8,-5.1,0.6,-5.1,-2.8,0
